OFFSCREENDENLNR: 48><661.5><48><661.5><0><
LNR_EASTBRIDGE: 1293><-727.5><1293><-727.5><0><
LNR_LP07: 2029.5><-157.5><2029.5><-157.5><0><
LNR_LP06: 2082><337.5><2082><337.5><0><
LNR_LP05: 2082><706.5><2082><706.5><0><
LNR_LP04: 2142><1137><2142><1137><0><
LNR_CAVE03: 177><-1228.5><177><-1228.5><1><
LNR_CAVE04: 343.5><-1380><343.5><-1380><1><
LNR_CAVE05: 612><-1395><612><-1395><1><
LNR_OE04: 775.5><-1276.5><775.5><-1276.5><0><
LNR_OE03: 1111.5><-1345.5><1111.5><-1345.5><0><
LNR_CAVE06: 1110><-1465.5><1110><-1465.5><1><
LNR_LEG: 1494><-543><1494><-543><1><
LNR_LEGCONNECTOR: 1698><-319.5><1698><-319.5><1><
LNR_LPINSIDE08: 2226><-301.5><2226><-301.5><1><
LNR_LPINSIDE07: 2322><-97.5><2322><-97.5><1><
LNR_LPINSIDE05: 2367><790.5><2367><790.5><1><
LNR_LPINSIDE04: 2403><1297.5><2403><1297.5><1><
LNR_LPINSIDE02: 3492><1344><3492><1344><1><
LNR_LPINSIDE03: 3654><1480.5><3654><1480.5><1><
LNR_LPINSIDE01: 3663><1894.5><3663><1894.5><1><
LNR_LPTUBE: 3729><2284.5><3729><2284.5><1><
LNR_LPPIPES: 3922.5><2388><3922.5><2388><1><
LNR_CRATE04: 2760><505.5><2760><505.5><0><
LNR_CRATE01: 2553><420><2553><420><0><
LNR_CRATE02: 2703><370.5><2703><370.5><0><
LNR_CRATE03: 2691><445.5><2691><445.5><0><
LNR_CRATE05: 2862><367.5><2862><367.5><0><
LNR_CRATE06: 2847><271.5><2847><271.5><0><
LNR_CRATE07: 2782.5><178.5><2782.5><178.5><0><
LNR_SLPCRATE: 2673><253.5><2673><253.5><0><
LNR_LPINSIDE06: 2412><277.5><2412><277.5><1><Low Pass
LNR_LP01: 3474><2200.5><3474><2200.5><2><
LNR_LPOBLIGATORYBALLSROOM: 3454.5><1666.5><3454.5><1666.5><2><
LNR_LP03: 2901><1326><2901><1326><2><
LNR_LEGSIDE: 1354.5><-409.5><1354.5><-409.5><2><
LNR_SAND03: -111><-816><-111><-816><2><
LNR_SANDTOLL: -825><-778.5><-825><-778.5><2><
LNR_SAND02: 408><-847.5><408><-847.5><2><
LNR_SAND01: 816><-919.5><816><-919.5><2><
LNR_BRICK01: -525><-781.5><-525><-781.5><1><
LNR_CAVE07: -1851><-595.5><-1851><-595.5><1><
LNR_SAND08: -1578><-526.5><-1578><-526.5><0><
LNR_SAND09: -1341><-517.5><-1341><-517.5><0><
LNR_BRIDGEBASE: -1177.5><-382.5><-1177.5><-382.5><0><
LNR_BRIDGE01: -1033.5><-133.5><-1033.5><-133.5><1><
LNR_BRICK06: -1392><-208.5><-1392><-208.5><1><
LNR_BRIDGE02: -534><-133.5><-534><-133.5><1><
LNR_SAND10: -1722><-304.5><-1722><-304.5><2><
LNR_BRICK07: -2007><-271.5><-2007><-271.5><1><
LNR_SAND12: -3354><-184.5><-3354><-184.5><2><
LNR_CAVE10: -2677.5><-853.5><-2677.5><-853.5><1><
LNR_CAVE11: -2566.5><-777><-2566.5><-777><1><
LNR_BRICK02: -1143><-766.5><-1143><-766.5><1><
LNR_SBRICK: -1179><-834><-1179><-834><1><
LNR_SBRICK02: -2010><-177><-2010><-177><0><
LNR_CAVE02: -552><-1195.5><-552><-1195.5><1><
LNR_SLEG: 1497><-256.5><1497><-256.5><1><
LNR_LEGTOP: 1491><-198><1491><-198><2><
LNR_SLPTOP: 3597><2419.5><3597><2419.5><1><
LNR_SAND11: -2545.5><-235.5><-2545.5><-235.5><2><
LNR_OE02: 1434><-1420.5><1434><-1420.5><1><
LNR_SAND05: -1455><-712.5><-1455><-712.5><2><
LNR_TUNNEL01: -684><-1426.5><-684><-1426.5><1><
LNR_TUNNEL02: -1107><-1509><-1107><-1509><0><
LNR_TUNNEL03: -1020><-1405.5><-1020><-1405.5><0><
LNR_TUNNEL05: -1767><-1609.5><-1767><-1609.5><0><
LNR_TUNNELCAVE01: -2049><-1708.5><-2049><-1708.5><1><
LNR_TUNNELCAVE02: -2283><-1777.5><-2283><-1777.5><1><
LNR_TUNNELDOME: -1269><-1401><-1269><-1401><0><
LNR_TUNNELFISHY: -2802><-1843.5><-2802><-1843.5><1><
LNR_SECRET: -2958><-1956><-2958><-1956><0><
LNR_TUNNELMERCH: -1197><-1300.5><-1197><-1300.5><0><
LNR_STUNNEL: -1590><-1294.5><-1590><-1294.5><1><
LNR_SAND07: -2256><-676.5><-2256><-676.5><2><
LNR_TUNNELPIT: -798><-1144.5><-798><-1144.5><1><
LNR_SCAVE: -987><-1174.5><-987><-1174.5><0><
LNR_CAVE01: -180><-1159.5><-180><-1159.5><1><
LNR_BRICK04: -1083><-1018.5><-1083><-1018.5><1><
LNR_SHAFT01: -48><-999><-48><-999><1><
LNR_BRICK03: -786><-966><-786><-966><1><
LNR_SAND04: -504><-946.5><-504><-946.5><0><
LNR_BRICK05: -1140><-670.5><-1140><-670.5><0><
LNR_ARCHIVESTASH: -1800><-1369.5><-1800><-1369.5><1><
LNR_SAND06: -2055><-937.5><-2055><-937.5><0><
LNR_CAVE08: -2373><-931.5><-2373><-931.5><1><
LNR_CAVE09: -2616><-952.5><-2616><-952.5><1><
LNR_SAND13: -3159><-886.5><-3159><-886.5><0><
LNR_TUNNEL04: -1578><-1492.5><-1578><-1492.5><0><
LNR_TUNNELCOLLAPSE: -1413><-1350><-1413><-1350><0><
LNR_ARCHIVE01: -1887><-1429.5><-1887><-1429.5><1><
LNR_ARCHIVE02: -2106><-1417.5><-2106><-1417.5><1><
LNR_ARCHIVEPIT: -2055><-1245><-2055><-1245><0><
LNR_EASTTOWER: 1101><-853.5><1101><-853.5><1><
GATE_LNR_OE: 1665><-1423.5><1665><-1423.5><0><
LNR_SOE: 1576.5><-1501.5><1576.5><-1501.5><1><
GATE_LNR_SI: 4146><2434.5><4146><2434.5><0><
//FloodForge;ROOM|offscreendenlnr
//FloodForge;ROOM|lnr_eastbridge|merge
//FloodForge;ROOM|lnr_lp07|merge
//FloodForge;ROOM|lnr_lp06|merge
//FloodForge;ROOM|lnr_lp05|merge
//FloodForge;ROOM|lnr_lp04|merge
//FloodForge;ROOM|lnr_cave03|merge
//FloodForge;ROOM|lnr_cave04|merge
//FloodForge;ROOM|lnr_cave05|merge
//FloodForge;ROOM|lnr_oe04|merge
//FloodForge;ROOM|lnr_oe03|merge
//FloodForge;ROOM|lnr_cave06|merge
//FloodForge;ROOM|lnr_leg|merge
//FloodForge;ROOM|lnr_legconnector|merge
//FloodForge;ROOM|lnr_lpinside08|merge
//FloodForge;ROOM|lnr_lpinside07|merge
//FloodForge;ROOM|lnr_lpinside05|merge
//FloodForge;ROOM|lnr_lpinside04|merge
//FloodForge;ROOM|lnr_lpinside02|merge
//FloodForge;ROOM|lnr_lpinside03|merge
//FloodForge;ROOM|lnr_lpinside01|merge
//FloodForge;ROOM|lnr_lptube|merge
//FloodForge;ROOM|lnr_lppipes|merge
//FloodForge;ROOM|lnr_crate04|merge
//FloodForge;ROOM|lnr_crate01|merge
//FloodForge;ROOM|lnr_crate02|merge
//FloodForge;ROOM|lnr_crate03|merge
//FloodForge;ROOM|lnr_crate05|merge
//FloodForge;ROOM|lnr_crate06|merge
//FloodForge;ROOM|lnr_crate07|merge
//FloodForge;ROOM|lnr_slpcrate|merge
//FloodForge;ROOM|lnr_lpinside06|merge
//FloodForge;ROOM|lnr_lp01|merge
